iter	RMSE
462	0.1016869325
463	0.1016582076
464	0.1016338825
465	0.1016102189
466	0.1015912598
467	0.1015748272
468	0.1015563234
469	0.1015363194
470	0.1015110469
471	0.1014809976
472	0.1014607592
473	0.1014403096
474	0.1014136542
475	0.1013895129
476	0.1013672359
477	0.1013397141
478	0.1013166154
479	0.1012961719
480	0.1012671694
481	0.1012382108
482	0.101195719
483	0.1011696983
484	0.1011523303
485	0.1011295723
486	0.1010998596
487	0.1010883265
488	0.1010646767
489	0.1010466542
490	0.1010214695
491	0.1010044247
492	0.1009808964
493	0.100969252
494	0.100956
495	0.1009389622
496	0.1009108329
497	0.1008975309
498	0.1008818342
499	0.1008601646
